shipper_id,shipper_company,shipper_vehicle,shipper_experience_years,shipper_rating,delivery_success_rate,average_delivery_time,working_shift,join_date,shipper_name,shipper_phone,shipper_gender,shipper_age,shipper_marital_status,shipper_education,zip,first_observed_ship_date,join_date_original,join_date_invalid_flag
SHP00023,Shopee Express,Motorbike,6,4.6,95.9,20,Evening,,Bùi Văn Hà,0928729869,Male,36,Single,College,16321,2012-07-05,2023-11-06,1
SHP00024,Ninja Van,Van,3,4.5,96.4,71,Evening,,Hoàng Thị Nam,0993822938,Female,55,Married,High School,15352,2012-07-06,2023-07-11,1
SHP00025,GHTK,Motorbike,10,4.6,98.6,25,Evening,,Trần Đức Cường,0922791841,Male,33,Single,High School,37501,2012-07-05,2021-05-19,1
SHP00026,Ninja Van,Van,11,4.3,96.0,21,Afternoon,,Nguyễn Thanh Hùng,0902981241,Male,37,Single,High School,43142,2012-07-06,2025-11-16,1
SHP00027,Ninja Van,Van,9,4.4,96.8,34,Evening,,Hoàng Thị Giang,0902650261,Female,47,Married,High School,27013,2012-07-05,2018-02-04,1
SHP00028,GHTK,Motorbike,8,4.6,98.8,52,Afternoon,,Hoàng Đức Quân,0983104398,Male,29,Single,College,16351,2012-07-06,2023-06-05,1
SHP00029,Viettel Post,Truck,8,4.3,98.2,21,Morning,,Võ Quốc Hùng,0938481552,Male,36,Single,College,68026,2012-07-04,2023-03-28,1
SHP00030,Viettel Post,Truck,4,4.2,96.4,63,Morning,,Hoàng Văn Trang,0956294981,Male,46,Single,High School,82434,2012-07-04,2019-04-11,1
SHP00031,Viettel Post,Truck,7,4.4,96.0,47,Afternoon,,Lê Thanh Nam,0956649092,Female,53,Single,Bachelor,68040,2012-07-05,2021-11-19,1
SHP00032,BEST Express,Truck,6,4.8,97.1,37,Afternoon,,Đặng Văn Nam,0961242116,Female,24,Single,High School,18971,2012-07-06,2023-06-14,1
SHP00033,J&T Express,Van,9,5.0,99.9,42,Evening,,Võ Gia Giang,0996960250,Female,29,Married,High School,32402,2012-07-06,2022-02-07,1
SHP00034,Ninja Van,Van,7,4.7,97.4,58,Evening,,Đặng Thị Vy,0983912150,Female,47,Married,College,00160,2012-07-05,2018-08-28,1
SHP00035,BEST Express,Truck,2,4.7,98.9,74,Morning,,Trần Văn Hùng,0986963662,Male,54,Married,High School,59004,2012-07-07,2020-05-03,1
SHP00036,Ninja Van,Van,3,4.7,96.5,33,Morning,,Phạm Gia An,0974640157,Female,34,Single,Bachelor,63101,2012-07-04,2022-01-21,1
SHP00037,GHN,Motorbike,9,4.3,96.7,70,Morning,,Phạm Quốc Dũng,0936758027,Female,40,Single,Bachelor,73009,2012-07-05,2020-07-16,1
SHP00038,Ahamove,Motorbike,3,4.4,99.7,23,Evening,,Bùi Quốc Trang,0961999001,Female,53,Single,College,49862,2012-07-06,2019-10-25,1
SHP00039,Ahamove,Motorbike,8,4.9,97.3,50,Evening,,Phạm Đức Giang,0954844436,Female,31,Single,High School,23843,2012-07-06,2021-08-03,1
SHP00040,Ninja Van,Van,12,4.4,98.9,28,Morning,,Phạm Gia An,0938877986,Male,36,Married,High School,97009,2012-07-04,2023-10-04,1
SHP00041,J&T Express,Van,12,4.9,97.6,23,Morning,,Phạm Thị Hà,0927179809,Male,38,Married,College,00026,2012-07-04,2023-03-21,1
SHP00042,Ninja Van,Van,7,5.0,99.8,55,Evening,,Nguyễn Quốc Trang,0986734203,Male,51,Married,High School,46323,2012-07-04,2019-11-02,1
SHP00043,Ninja Van,Van,2,4.6,97.0,65,Morning,,Bùi Thị Trang,0912757576,Female,38,Married,Bachelor,97009,2012-07-05,2021-02-21,1
SHP00044,Ninja Van,Van,12,5.0,95.3,50,Morning,,Nguyễn Thị Cường,0920549207,Female,34,Married,Bachelor,73012,2012-07-06,2018-06-10,1
SHP00045,Ahamove,Motorbike,7,4.8,95.3,42,Evening,,Nguyễn Thanh Giang,0995279807,Male,27,Married,Bachelor,20627,2012-07-06,2018-01-12,1
SHP00046,GHTK,Motorbike,8,5.0,99.6,62,Afternoon,,Nguyễn Đức Cường,0919341832,Male,34,Married,High School,17951,2012-07-04,2023-07-07,1
SHP00047,Shopee Express,Motorbike,10,4.6,98.3,33,Afternoon,,Phạm Quốc Sơn,0926716571,Male,42,Single,High School,00051,2012-07-04,2022-01-09,1
SHP00048,Shopee Express,Motorbike,9,4.9,98.8,46,Afternoon,,Nguyễn Thị Vy,0946448535,Male,51,Married,Bachelor,92267,2012-07-06,2024-12-01,1
SHP00049,Ahamove,Motorbike,6,4.8,98.0,67,Afternoon,,Đặng Đức Dũng,0944279003,Male,24,Married,Bachelor,00026,2012-07-05,2023-04-11,1
SHP00050,GHTK,Motorbike,12,4.4,95.2,37,Morning,,Hoàng Gia Hùng,0990945189,Female,49,Single,College,71640,2012-07-05,2019-05-27,1
SHP00051,J&T Express,Van,9,4.6,95.1,67,Afternoon,,Đặng Anh Hà,0980366393,Female,42,Single,College,43021,2012-07-04,2019-02-16,1
SHP00052,Ninja Van,Van,4,4.7,99.3,59,Evening,,Phạm Anh Hùng,0933172868,Female,38,Married,College,18055,2012-07-05,2025-06-27,1
SHP00053,GHTK,Motorbike,8,4.7,96.8,68,Evening,,Nguyễn Đức Bình,0943102331,Female,54,Single,Bachelor,68001,2012-07-04,2018-02-20,1
SHP00054,BEST Express,Truck,9,4.7,97.8,56,Evening,,Nguyễn Quốc Phong,0998883340,Female,50,Married,High School,18417,2012-07-05,2023-03-14,1
SHP00055,J&T Express,Van,5,4.2,95.8,46,Morning,,Hoàng Văn Trang,0900482857,Female,34,Single,Bachelor,16427,2012-07-07,2022-09-03,1
SHP00056,Ninja Van,Van,8,4.9,96.6,21,Morning,,Nguyễn Minh Long,0951583055,Male,55,Married,High School,00037,2012-07-04,2023-12-09,1
SHP00057,GHTK,Motorbike,7,4.6,97.9,53,Evening,,Võ Thị Sơn,0937417919,Male,26,Single,Bachelor,17038,2012-07-07,2024-02-09,1
SHP00058,GHN,Motorbike,11,4.6,98.3,37,Evening,,Bùi Thanh Hùng,0956897812,Male,39,Married,College,20604,2012-07-06,2018-02-11,1
SHP00059,J&T Express,Van,7,5.0,98.9,50,Evening,,Nguyễn Minh Quân,0907366403,Male,55,Single,Bachelor,00032,2012-07-04,2021-05-08,1
SHP00060,GHTK,Motorbike,11,4.7,95.4,32,Afternoon,,Bùi Thanh Cường,0904584927,Male,39,Married,Bachelor,17943,2012-07-06,2022-11-21,1
SHP00061,GHTK,Motorbike,1,4.8,95.1,74,Evening,,Lê Anh Quân,0956517585,Male,32,Single,High School,49815,2012-07-04,2019-12-17,1
SHP00062,Viettel Post,Truck,1,4.3,98.7,69,Morning,,Trần Văn Sơn,0954653513,Female,47,Single,Bachelor,75846,2012-07-04,2025-12-16,1
SHP00063,BEST Express,Truck,8,4.6,96.2,26,Evening,,Nguyễn Thanh Vy,0922698939,Female,38,Married,Bachelor,43316,2012-07-06,2019-04-28,1
SHP00064,J&T Express,Van,12,4.8,99.3,48,Afternoon,,Nguyễn Gia Quân,0937230018,Male,39,Married,Bachelor,82441,2012-07-06,2018-07-24,1
SHP00065,Ahamove,Motorbike,2,4.8,97.9,28,Evening,,Nguyễn Quốc Trang,0906371317,Male,39,Married,High School,38007,2012-07-07,2023-06-24,1
SHP00066,Ninja Van,Van,8,4.6,99.0,59,Morning,,Lê Thị Phong,0943623439,Female,49,Married,Bachelor,18415,2012-07-04,2022-08-30,1
SHP00067,Viettel Post,Truck,5,4.7,99.0,39,Morning,,Nguyễn Quốc Hà,0947066875,Male,47,Single,Bachelor,15202,2012-07-05,2023-09-13,1
SHP00068,Ninja Van,Van,2,4.6,99.8,29,Morning,,Trần Quốc Long,0924139334,Male,47,Single,College,27013,2012-07-05,2025-10-13,1
SHP00069,GHN,Motorbike,10,4.5,98.5,31,Morning,,Hoàng Thị Giang,0968458783,Female,34,Single,College,10518,2012-07-08,2019-01-21,1
SHP00070,Viettel Post,Truck,9,4.3,99.4,66,Morning,,Phạm Anh Cường,0913921412,Female,55,Single,College,73004,2012-07-05,2024-10-29,1
SHP00071,Ahamove,Motorbike,12,4.7,95.9,26,Afternoon,,Bùi Thị Hà,0975678108,Male,34,Married,High School,71654,2012-07-04,2023-04-22,1
SHP00072,Viettel Post,Truck,12,4.6,99.4,21,Morning,,Trần Đức Hùng,0987226165,Male,51,Single,College,82513,2012-07-08,2023-07-02,1
SHP00073,GHTK,Motorbike,8,4.9,98.6,21,Morning,,Phạm Văn Phong,0982262009,Female,51,Married,College,23845,2012-07-06,2023-10-28,1
SHP00074,Shopee Express,Motorbike,10,4.5,96.8,36,Morning,,Lê Minh Phong,0969920920,Female,52,Married,High School,69133,2012-07-05,2022-05-13,1
SHP00075,J&T Express,Van,11,4.3,96.7,52,Afternoon,,Phạm Anh Hùng,0989436113,Female,33,Married,Bachelor,92120,2012-07-09,2024-10-03,1
SHP00076,BEST Express,Truck,10,4.7,95.1,65,Afternoon,,Trần Thanh Long,0933140008,Male,29,Married,Bachelor,18413,2012-07-09,2020-09-25,1
SHP00077,BEST Express,Truck,9,4.7,99.4,41,Morning,,Trần Văn Giang,0931398461,Female,38,Married,Bachelor,00188,2012-07-06,2019-11-11,1
SHP00078,Shopee Express,Motorbike,11,5.0,96.8,38,Evening,,Đặng Văn Bình,0999125359,Female,29,Single,High School,37544,2012-07-09,2025-09-25,1
SHP00079,Shopee Express,Motorbike,11,4.5,95.9,68,Morning,,Đặng Thanh An,0993275153,Male,46,Married,Bachelor,00049,2012-07-07,2018-09-09,1
SHP00080,GHN,Motorbike,11,4.6,95.3,39,Afternoon,,Lê Minh Khánh,0944508698,Male,55,Single,Bachelor,49728,2012-07-09,2018-03-11,1
